rank,runnerName,score2,score1,score_raw,score_avg,eventName,race_L
31.0,二俣真,-0.09203832812250543,-0.09249086313767288,-0.09254694624936433,-0.09249086313767288,0.0,76
32.0,本庄祐一,-0.08690740778548504,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,40
33.0,阿部遼太郎,-0.0810235553817966,-0.08108783793531776,-0.0811003517690111,-0.08104426865731966,15.0,102
34.0,唐木朋也,-0.08087653596167577,-0.08108783793531776,-0.0811003517690111,-0.08104426865731966,15.0,85
35.0,清水俊祐,-0.0807662444548083,-0.08108783793531776,-0.0811003517690111,-0.08104426865731966,15.0,79
36.0,工藤友喜,-0.07403794550030482,-0.092534432415671,-0.09254694624936433,-0.09249086313767288,15.0,23
37.0,住吉将英,-0.0688921180825417,-0.0689126215625227,-0.06896870467421415,-0.0689126215625227,0.0,116
38.0,高見澤翔一,-0.06874949948042239,-0.0689561908405208,-0.06896870467421415,-0.0689126215625227,15.0,83
39.0,三浦一将,-0.06843415102955167,-0.0689126215625227,-0.06896870467421415,-0.0689126215625227,0.0,71
40.0,山内優太,-0.06791301016923026,-0.08104426865731966,-0.0811003517690111,-0.08104426865731966,0.0,26
41.0,和佐田祥太朗,-0.0518782007683115,-0.05219324351421493,-0.05224932662589944,-0.05219324351421493,0.0,73
42.0,中嶋律起,-0.05184782702639015,-0.052236812792207654,-0.05224932662589944,-0.05219324351421493,15.0,70
43.0,谷野文史,-0.047099205790228985,-0.047129490840990856,-0.047142004674682644,-0.04708592156299813,15.0,105
44.0,宮嶋哲矢,-0.047036671575866405,-0.047129490840990856,-0.047142004674682644,-0.04708592156299813,15.0,89
45.0,太田知也,-0.04683883732325389,-0.04708592156299813,-0.047142004674682644,-0.04708592156299813,0.0,75
46.0,大野絢平,-0.04647208461855725,-0.04708592156299813,-0.047142004674682644,-0.04708592156299813,0.0,62
47.0,青芳龍,-0.04613899983289501,-0.04641918991245289,-0.04736564679277485,-0.04312392133668966,15.0,73
48.0,村田千真,-0.04342577927404103,-0.04385790224048805,-0.04736564679277485,-0.03164502637125321,15.0,66
49.0,名雪青葉,-0.029028073352772635,-0.029109427953381492,-0.03451385327732231,-0.010292899371558502,15.0,84
50.0,根本夏林,-0.020701819325294763,-0.02082753606004747,-0.02097719359856998,-0.020306475043879953,15.0,73
51.0,川口真司,-0.014367329033218105,-0.014413665628210557,-0.013273486154351272,-0.014413665628210557,0.0,82
52.0,豊田健登,-0.013451759505465214,-0.013527894582951446,-0.013273486154351272,-0.014413665628210557,15.0,74
53.0,古池将樹,-0.005421407859735612,-0.005422154813928302,-0.009671442712010009,-0.005422154813928302,0.0,127
54.0,川島聖也,-0.005416055059073891,-0.005422154813928302,-0.009671442712010009,-0.005422154813928302,0.0,97
55.0,藤原真吾,-0.0035564211067143883,-0.0035765499527901277,-0.00532719236316375,0.0025186425934779957,15.0,74
56.0,薗部駿太,0.012838007940491796,0.012889126073868678,-0.009671442712010009,0.09143801183627259,15.0,79
57.0,森川周,0.026622829140604112,0.02663132724832728,0.008017751113668958,0.09143801183627259,15.0,115
58.0,清水慎太郎,0.046031238950474666,0.09143801183627259,0.10007204417304381,0.09143801183627259,0.0,10
59.0,片岡佑太,0.09080314418409048,0.09143801183627259,0.10007204417304381,0.09143801183627259,0.0,71
60.0,渡辺鷹志,0.09792319139378558,0.09814553115501333,0.10007204417304381,0.09143801183627259,15.0,87
61.0,七五三碧,0.09800931994880854,0.09814553115501333,0.10007204417304381,0.09143801183627259,15.0,94
